index,runs,opponent,ground,date,match,Match_No,total
473,51,NewZealand,Hamilton,5Feb2020,ODI,454,21839
474,15,NewZealand,Auckland,8Feb2020,ODI,455,21854
475,9,NewZealand,MountMaunganui,11Feb2020,ODI,456,21863
476,2,NewZealand,Wellington,21Feb2020,Test,457,21865
477,19,NewZealand,Wellington,21Feb2020,Test,458,21884
478,3,NewZealand,Christchurch,29Feb2020,Test,459,21887
479,14,NewZealand,Christchurch,29Feb2020,Test,460,21901
480,21,Australia,Sydney,27Nov2020,ODI,461,21922
481,89,Australia,Sydney,29Nov2020,ODI,462,22011
482,63,Australia,Canberra,2Dec2020,ODI,463,22074
483,9,Australia,Canberra,4Dec2020,T20,464,22083
484,40,Australia,Sydney,6Dec2020,T20,465,22123
485,85,Australia,Sydney,8Dec2020,T20,466,22208
486,74,Australia,Adelaide,17Dec2020,Test,467,22282
487,4,Australia,Adelaide,17Dec2020,Test,468,22286
488,11,England,Chennai,5Feb2021,Test,469,22297
489,72,England,Chennai,5Feb2021,Test,470,22369
490,0,England,Chennai,13Feb2021,Test,471,22369
491,62,England,Chennai,13Feb2021,Test,472,22431
492,27,England,Ahmedabad,24Feb2021,Test,473,22458
494,0,England,Ahmedabad,4Mar2021,Test,474,22458
495,0,England,Ahmedabad,12Mar2021,T20,475,22458
496,73,England,Ahmedabad,14Mar2021,T20,476,22531
497,77,England,Ahmedabad,16Mar2021,T20,477,22608
498,1,England,Ahmedabad,18Mar2021,T20,478,22609
499,80,England,Ahmedabad,20Mar2021,T20,479,22689
500,56,England,Pune,23Mar2021,ODI,480,22745
501,66,England,Pune,26Mar2021,ODI,481,22811
502,7,England,Pune,28Mar2021,ODI,482,22818
503,44,NewZealand,Southampton,18Jun2021,Test,483,22862
504,13,NewZealand,Southampton,18Jun2021,Test,484,22875
505,0,England,Nottingham,4Aug2021,Test,485,22875
507,42,England,Lord's,12Aug2021,Test,486,22917
508,20,England,Lord's,12Aug2021,Test,487,22937
509,7,England,Leeds,25Aug2021,Test,488,22944
510,55,England,Leeds,25Aug2021,Test,489,22999
511,50,England,TheOval,2Sep2021,Test,490,23049
512,44,England,TheOval,2Sep2021,Test,491,23093
513,57,Pakistan,Dubai(DSC),24Oct2021,T20,492,23150
514,9,NewZealand,Dubai(DSC),31Oct2021,T20,493,23159
516,2,Scotland,Dubai(DSC),5Nov2021,T20,494,23161
518,0,NewZealand,Wankhede,3Dec2021,Test,495,23161
519,36,NewZealand,Wankhede,3Dec2021,Test,496,23197
520,35,SouthAfrica,Centurion,26Dec2021,Test,497,23232
521,18,SouthAfrica,Centurion,26Dec2021,Test,498,23250
522,79,SouthAfrica,CapeTown,11Jan2022,Test,499,23329
523,29,SouthAfrica,CapeTown,11Jan2022,Test,500,23358
524,51,SouthAfrica,Paarl,19Jan2022,ODI,501,23409
525,0,SouthAfrica,Paarl,21Jan2022,ODI,502,23409
526,65,SouthAfrica,CapeTown,23Jan2022,ODI,503,23474
527,8,WestIndies,Ahmedabad,6Feb2022,ODI,504,23482
528,18,WestIndies,Ahmedabad,9Feb2022,ODI,505,23500
529,0,WestIndies,Ahmedabad,11Feb2022,ODI,506,23500
530,17,WestIndies,Kolkata,16Feb2022,T20,507,23517
531,52,WestIndies,Kolkata,18Feb2022,T20,508,23569
532,45,SriLanka,Mohali,4Mar2022,Test,509,23614
533,23,SriLanka,Bengaluru,12Mar2022,Test,510,23637
534,13,SriLanka,Bengaluru,12Mar2022,Test,511,23650
535,11,England,Birmingham,1Jul2022,Test,512,23661
536,20,England,Birmingham,1Jul2022,Test,513,23681
537,1,England,Birmingham,9Jul2022,T20,514,23682
538,11,England,Nottingham,10Jul2022,T20,515,23693
539,16,England,Lord's,14Jul2022,ODI,516,23709
